full_name,id,distinct_releases,releases_mean_time,releases_median_time,first_release_date,last_release_date,total_time_days
Accelerider/BaiduPanDownloadWinform,70128945,6,9,8,2016-11-10,2016-12-27,47
cwRichardKim/RKNotificationHub,24688259,7,78,51,2014-12-23,2016-4-1,468
airbnb/lottie-ios,70198664,10,23,9,2017-1-28,2017-8-28,210
git-tfs/git-tfs,252774,21,84,55,2013-2-19,2017-10-10,1691
lingochamp/FileDownloader,48427914,42,15,11,2016-1-17,2017-10-12,630
SteamRE/SteamKit,10376425,24,67,30,2013-7-10,2017-10-14,1554
octokit/octokit.rb,417862,34,41,21,2013-7-3,2017-4-5,1372
wallabag/wallabag,9193949,43,29,22,2013-12-23,2017-5-18,1245
squizlabs/PHP_CodeSniffer,2699935,36,44,43,2013-7-2,2017-10-16,1564
coreos/clair,46140633,13,48,31,2015-11-13,2017-6-20,587
ViccAlexander/Chameleon,22282353,8,69,47,2015-6-1,2016-10-5,489
channelcat/sanic,59720190,13,23,16,2016-10-23,2017-8-3,285
mesosphere/marathon,10941409,91,15,9,2013-11-23,2017-10-19,1426
legomushroom/mojs,21234201,13,73,29,2015-4-1,2017-8-30,879
lihaoyi/Ammonite,29178282,38,21,14,2015-8-5,2017-10-24,809
hyperoslo/ImagePicker,40171919,9,79,69,2016-1-5,2017-10-9,639
fibjs/fibjs,19540706,18,26,9,2016-8-2,2017-10-27,450
abraham/twitteroauth,128818,17,55,29,2015-1-15,2017-6-30,895
AlDanial/cloc,42029482,6,146,142,2015-9-7,2017-9-8,731
dropbox/pyston,18320947,7,145,168,2014-9-11,2017-1-31,875
gabrielemariotti/cardslib,12984746,11,30,37,2014-1-7,2014-11-12,305
bundler/bundler,488514,2,7,7,2017-8-28,2017-9-5,7
naptha/tesseract.js,37958358,3,5,6,2016-10-8,2016-10-18,10
Kong/kong,26783295,33,27,21,2015-6-5,2017-10-25,870
postcss/autoprefixer,8768406,51,31,18,2013-7-16,2017-10-21,1555
google/flatbuffers,19953044,12,99,100,2014-6-17,2017-6-20,1098
pedestal/pedestal,8560576,10,165,192,2013-8-31,2017-10-3,1492
thoughtbot/clearance,56125,6,78,67,2015-9-11,2016-10-6,390
matryer/bitbar,14376285,23,45,12,2013-11-25,2016-8-30,1010
typecho/typecho,11467667,7,237,171,2013-11-30,2017-10-26,1426
bazelbuild/bazel,20773773,28,28,25,2015-9-10,2017-10-18,768
pandas-dev/pandas,858127,33,43,31,2014-1-16,2017-10-27,1376
mgp25/Chat-API,24518232,10,38,28,2015-7-19,2016-7-2,348
hawkthorne/hawkthorne-journey,4383030,6,143,77,2013-11-14,2015-11-3,719
activerecord-hackery/ransack,1548802,14,78,30,2014-8-23,2017-6-12,1024
babel/babel,24560307,59,11,8,2015-12-4,2017-10-15,681
olefredrik/FoundationPress,14964923,27,30,17,2015-8-5,2017-10-11,796
davisking/dlib,16331291,7,138,146,2015-6-6,2017-9-17,831
soimort/you-get,5483330,64,24,16,2013-7-3,2017-10-13,1560
adobe-fonts/source-code-pro,5362524,6,294,349,2013-8-4,2017-8-18,1474
tensorflow/tensorflow,45717250,38,16,13,2016-2-16,2017-10-23,612
sympy/sympy,640534,17,92,13,2013-7-7,2017-7-27,1480
Instagram/IGListKit,67588512,6,64,57,2016-10-12,2017-8-31,324
FFmpeg/FFmpeg,1614410,7,84,51,2014-9-30,2016-2-15,505
path/FastImageCache,12283195,4,277,155,2013-10-23,2016-1-30,832
git-up/GitUp,40638363,16,51,20,2015-8-18,2017-9-26,768
roundcube/roundcubemail,4224042,29,49,60,2013-11-30,2017-9-10,1380
go-chi/chi,44344606,7,72,83,2016-8-2,2017-10-10,433
WP-API/WP-API,10420996,22,41,20,2014-5-25,2016-10-8,863
gliderlabs/logspout,19748680,6,190,118,2015-2-12,2017-9-23,951
apache/incubator-superset,39464018,7,94,47,2016-3-11,2017-10-3,567
acaudwell/Gource,303762,6,247,157,2014-4-14,2017-9-8,1239
urfave/cli,11393110,6,40,49,2016-4-30,2016-11-22,202
spatie/laravel-backup,30915528,75,13,8,2015-2-18,2017-10-14,966
adobe/brackets,2935735,47,29,14,2013-12-21,2017-9-25,1374
CoderMJLee/MJRefresh,20106153,9,108,16,2015-6-14,2017-10-28,864
Reactive-Extensions/Rx.NET,12576526,6,224,105,2014-4-29,2017-5-27,1123
Particular/NServiceBus,1056713,75,20,14,2013-8-19,2017-10-26,1527
Thomvis/BrightFutures,20614919,28,40,26,2014-10-14,2017-9-30,1081
OptiKey/OptiKey,21836148,50,20,9,2015-1-19,2017-10-26,1007
vikmeup/SCLAlertView-Swift,20557685,22,40,34,2014-6-6,2016-10-11,855
bjorn/tiled,1418150,31,50,28,2013-7-5,2017-8-29,1514
rqlite/rqlite,23247808,26,22,19,2016-4-9,2017-10-19,555
dompdf/dompdf,6660366,9,186,211,2013-8-16,2017-9-20,1494
elastic/beats,16554739,62,20,14,2014-5-4,2017-10-10,1251
dotnet/orleans,28232663,33,30,31,2015-2-6,2017-10-26,990
chiahsien/CHTCollectionViewWaterfallLayout,6807826,10,138,111,2014-4-2,2017-9-5,1248
oguzhaninan/Stacer,72979287,8,41,37,2016-11-6,2017-8-23,292
duckduckgo/duckduckgo,1267640,22,56,55,2014-6-2,2017-9-5,1188
Kapeli/Dash-iOS,73007219,6,66,49,2016-11-16,2017-10-15,334
ory/hydra,36071697,43,12,7,2016-5-29,2017-10-26,512
xupefei/Locale-Emulator,8835057,25,53,36,2013-12-20,2017-7-4,1294
yiisoft/yii,3451238,6,279,323,2013-8-12,2017-6-8,1396
equinusocio/material-theme,36674234,58,15,9,2015-6-2,2017-10-19,867
geeeeeeeeek/WeChatLuckyMoney,43443499,13,40,22,2015-10-5,2017-1-27,482
fog/fog,203666,16,84,40,2014-4-3,2017-9-29,1271
fitztrev/shuttle,11328213,12,108,84,2013-7-11,2016-10-18,1192
quilljs/quill,5239185,63,20,12,2014-5-7,2017-10-9,1247
BBC-News/wraith,7777332,19,62,64,2014-2-9,2017-3-15,1131
twitter/summingbird,5957708,20,53,24,2013-9-12,2016-6-23,1016
jaredpar/VsVim,388860,6,195,126,2014-10-18,2017-6-19,976
phusion/baseimage-docker,14329321,3,28,36,2017-3-21,2017-5-17,56
mitmproxy/mitmproxy,519832,16,89,55,2013-8-24,2017-4-28,1344
QuantConnect/Lean,27251463,8,133,97,2015-1-12,2017-8-8,936
permissions-dispatcher/PermissionsDispatcher,40786751,22,36,23,2015-8-16,2017-9-15,759
hashcat/hashcat,47409672,8,69,57,2016-6-29,2017-10-27,483
facebook/stetho,29703871,11,78,92,2015-2-18,2017-4-13,785
zyedidia/micro,53632140,15,30,30,2016-8-27,2017-10-29,427
bblanchon/ArduinoJson,15802263,59,23,16,2014-2-17,2017-10-17,1335
redux-saga/redux-saga,47071941,32,22,11,2015-12-2,2017-10-16,684
commercialhaskell/stack,34817922,26,34,21,2015-6-9,2017-10-22,863
rey5137/material,27764811,6,85,66,2015-4-1,2016-6-2,426
shadowsocks/shadowsocks-go,6486840,6,257,259,2013-7-12,2017-1-19,1287
ViewDeck/ViewDeck,2915478,7,69,40,2015-11-8,2016-12-29,416
akka/reactive-kafka,28635588,19,27,32,2015-1-7,2016-5-12,490
FreeRDP/FreeRDP,1979797,2,1461,1461,2013-7-23,2017-7-24,1461
thephpleague/flysystem,13899674,10,14,10,2013-11-16,2014-3-23,132
koreader/koreader,8986217,107,12,6,2014-3-11,2017-10-23,1317
julianshapiro/velocity,18611173,10,116,31,2014-5-6,2017-3-18,1047
outworkers/phantom,14509195,40,33,16,2014-3-8,2017-10-8,1305
CorsixTH/CorsixTH,12363387,15,69,14,2013-9-27,2016-5-29,977
libretro/RetroArch,689344,14,58,38,2015-7-15,2017-8-17,762
fatih/vim-go,18062944,21,50,55,2014-12-29,2017-10-3,1009
apl-devs/AppIntro,36814724,7,120,118,2015-8-4,2017-7-29,725
octalmage/robotjs,23515024,20,41,20,2015-2-4,2017-3-26,782
tymondesigns/jwt-auth,23680678,28,40,28,2014-9-10,2017-8-31,1086
udacity/self-driving-car-sim,81283552,10,7,7,2017-5-4,2017-7-11,67
bosun-monitor/bosun,14410778,18,44,16,2015-3-10,2017-3-31,751
koral--/android-gif-drawable,7905539,38,38,38,2013-10-3,2017-8-15,1412
robjhyndman/forecast,4107955,18,73,54,2013-9-27,2017-2-23,1246
shadowsocks/ChinaDNS,22201118,16,24,11,2014-7-29,2015-8-5,371
Squirrel/Squirrel.Windows,22338518,38,28,21,2014-9-29,2017-8-4,1040
aspnetboilerplate/aspnetboilerplate,12201538,102,12,8,2014-5-4,2017-10-17,1258
google/auto,10230369,13,41,36,2016-6-10,2017-10-18,493
kaminari/kaminari,1333863,8,202,131,2013-12-3,2017-10-21,1418
begriffs/postgrest,20787122,18,48,26,2015-5-26,2017-9-6,830
coleifer/peewee,979480,32,50,33,2013-7-3,2017-10-8,1555
Orderella/PopupDialog,61743960,15,33,9,2016-6-23,2017-9-30,462
vmware/harbor,50613991,23,26,13,2016-3-11,2017-10-20,584
ninjaprox/NVActivityIndicatorView,39452201,27,30,20,2015-7-28,2017-9-21,783
aws/aws-sdk-ruby,2050163,175,5,5,2015-2-5,2017-10-26,991
AliSoftware/OHHTTPStubs,4975026,24,55,36,2013-10-10,2017-4-4,1274
robertdavidgraham/masscan,11715753,6,272,44,2013-9-13,2017-6-6,1363
hadley/devtools,643909,16,90,77,2013-11-20,2017-8-2,1352
ValveSoftware/openvr,34289265,30,29,26,2015-4-30,2017-9-1,851
PHPOffice/PHPWord,4242230,9,112,38,2014-2-12,2016-7-31,899
WhisperSystems/Signal-iOS,19429698,15,35,22,2014-7-23,2015-11-29,491
HangfireIO/Hangfire,11920542,58,24,18,2013-11-10,2017-9-19,1409
grafana/grafana,15111821,63,22,13,2014-1-19,2017-10-27,1373
wagtail/wagtail,16479108,58,22,16,2014-3-11,2017-10-16,1310
marmelroy/PhoneNumberKit,43208710,21,34,32,2015-10-27,2017-9-19,692
docker/swarm,19360616,28,26,12,2015-8-7,2017-7-10,703
Seldaek/monolog,1376664,22,67,40,2013-7-28,2017-6-19,1421
Semantic-Org/Semantic-UI,9309093,87,16,7,2013-9-26,2017-8-7,1411
xbmc/xbmc,1217614,74,20,14,2013-9-30,2017-10-23,1483
mileszs/ack.vim,111336,2,337,337,2015-2-20,2016-1-22,337
kohsuke/winsw,500093,9,26,26,2016-12-9,2017-7-8,214
carrierwaveuploader/carrierwave,47087,2,235,235,2013-7-6,2014-2-26,235
grpc/grpc,27729880,39,25,18,2015-2-26,2017-10-19,963
KrauseFx/TSMessages,9421282,5,77,74,2014-3-10,2015-1-14,309
spatie/laravel-permission,42480275,37,21,17,2015-9-15,2017-10-26,771
finagle/finch,18798826,32,37,38,2014-7-17,2017-10-8,1176
adam-p/markdown-here,4311796,8,132,47,2014-11-11,2017-5-26,930
composer/composer,1864363,29,54,23,2013-7-3,2017-9-11,1528
apple/swift,44838949,3,28,37,2016-8-15,2016-10-11,56
twitter/algebird,5275507,21,76,68,2013-7-17,2017-10-4,1537
typelevel/cats,29986727,12,57,54,2015-11-12,2017-8-3,631
tonsky/FiraCode,26500787,12,65,42,2014-11-11,2016-11-5,724
systemd/systemd,32873313,3,102,120,2017-3-12,2017-10-6,204
icsharpcode/ILSpy,1327739,8,172,124,2014-6-29,2017-10-23,1209
facebook/zstd,29759715,36,22,16,2015-8-25,2017-10-9,774
AFNetworking/AFNetworking,1828795,25,40,24,2013-8-2,2016-3-31,974
Respect/Validation,931033,10,96,64,2013-12-10,2016-4-24,869
Microsoft/cpprestsdk,23202799,5,175,234,2015-11-20,2017-10-21,701
piwik/piwik,1548202,173,8,6,2013-11-22,2017-10-10,1418
OpenRefine/OpenRefine,6220644,9,178,105,2013-7-24,2017-6-18,1424
Tencent/tinker,67481986,11,32,25,2016-9-24,2017-8-14,325
rspec/rspec-rails,447184,4,75,54,2013-7-7,2014-2-18,226
socketio/socket.io-client-swift,31617364,77,12,10,2015-3-8,2017-10-4,936
google/google-api-php-client,12166778,27,48,37,2014-1-22,2017-7-10,1263
zhuhaow/NEKit,58266220,15,24,11,2016-8-10,2017-7-13,338
typcn/bilibili-mac-client,33155818,47,19,11,2015-4-1,2017-10-8,917
ReactiveKit/Bond,30039066,65,15,8,2015-2-1,2017-10-16,985
nghttp2/nghttp2,11452676,74,19,16,2013-10-28,2017-10-25,1457
nanomsg/nanomsg,6154315,9,102,23,2015-7-22,2017-10-18,816
Quick/Quick,20506004,16,60,54,2015-3-31,2017-9-28,907
caskroom/homebrew-cask,3623050,62,14,9,2013-7-22,2016-1-11,904
iBotPeaches/Apktool,3766706,5,86,99,2016-10-18,2017-9-28,345
ampproject/amphtml,41766002,130,5,5,2015-11-19,2017-10-24,705
nextcloud/server,60243197,12,27,14,2016-6-14,2017-4-10,301
bitly/oauth2_proxy,7209439,7,149,135,2014-11-10,2017-4-24,899
jasmine/jasmine,84009,20,73,32,2013-10-30,2017-8-24,1394
tootsuite/mastodon,52281283,23,11,7,2017-2-5,2017-10-17,252
balderdashy/sails,3757512,21,59,23,2013-12-16,2017-3-6,1180
citusdata/citus,50874442,23,25,19,2016-3-24,2017-10-16,567
neuecc/UniRx,17941520,17,51,37,2014-7-1,2016-9-30,819
RaRe-Technologies/gensim,1349775,17,44,39,2015-11-5,2017-10-12,707
JamesNK/Newtonsoft.Json,3476845,11,96,76,2014-11-3,2017-6-18,960
getsentry/sentry,873328,37,22,25,2015-7-28,2017-10-10,802
opencontainers/runc,36960321,10,67,38,2015-12-11,2017-8-10,609
sbt/sbt-native-packager,3016640,48,26,19,2014-5-22,2017-10-23,1246
exvim/main,17713904,7,61,39,2014-4-14,2015-4-17,368
akavache/Akavache,2896461,17,83,38,2013-3-5,2016-11-4,1334
http4s/http4s,3692188,1,None,None,2017-10-4,2017-10-4,0
tsenart/vegeta,12080551,30,39,20,2014-1-17,2017-3-19,1157
Atlantic18/DoctrineExtensions,885517,17,38,22,2016-1-27,2017-10-12,620
juliangarnier/anime,53809090,9,56,61,2016-6-29,2017-9-25,451
danielgindi/Charts,32578467,21,44,27,2015-4-8,2017-9-21,893
hexojs/hexo,5923215,43,37,18,2013-7-3,2017-10-29,1576
fmtlib/fmt,7056202,14,87,50,2014-5-13,2017-6-27,1139
yarnpkg/yarn,49970642,53,9,7,2016-6-17,2017-10-12,480
BoltsFramework/Bolts-ObjC,16368651,17,55,48,2014-1-31,2016-7-14,893
ninject/Ninject,145356,5,7,9,2017-9-23,2017-10-22,29
weaveworks/weave,23059575,50,20,15,2014-12-30,2017-10-10,1015
emojione/emojione,23393132,31,35,18,2014-9-4,2017-8-8,1069
octokit/octokit.net,7528679,44,33,17,2013-10-30,2017-10-7,1437
serilog/serilog,8198511,7,58,36,2016-7-4,2017-6-21,352
numpy/numpy,908607,11,31,30,2016-11-17,2017-9-28,316
ianyh/Amethyst,10115880,16,52,36,2014-10-1,2016-11-28,787
z-song/laravel-admin,48796179,10,36,24,2016-12-6,2017-10-26,325
TryGhost/Ghost,9852918,86,17,8,2013-10-15,2017-10-24,1469
coreybutler/nvm-windows,24268127,11,102,44,2014-9-24,2017-7-15,1026
h2o/h2o,23029617,45,22,13,2015-2-18,2017-10-19,971
open-source-parsers/jsoncpp,21530861,27,37,14,2015-1-6,2017-8-30,964
Netflix/dynomite,13484625,9,121,82,2015-2-10,2017-10-12,972
alvarotrigo/fullPage.js,12972263,48,28,19,2014-2-25,2017-10-25,1335
IdentityServer/IdentityServer3,15714062,33,34,21,2014-7-31,2017-8-7,1101
mamedev/mame,14303048,31,29,28,2015-5-18,2017-10-25,887
IdentityServer/IdentityServer4,46652227,20,21,14,2016-9-6,2017-10-26,415
MagicStack/uvloop,45766550,22,24,8,2016-4-15,2017-9-12,512
duplicati/duplicati,22636263,59,9,8,2016-3-17,2017-10-20,578
schollz/find,44634390,9,84,94,2015-11-18,2017-9-26,678
r-lib/httr,2756403,11,124,130,2014-3-20,2017-8-21,1246
roots/sage,1305114,25,60,48,2013-8-23,2017-8-18,1455
zfsonlinux/zfs,437011,24,40,26,2015-4-9,2017-10-19,920
ReactiveX/RxAndroid,23095954,11,77,64,2014-10-1,2016-11-12,771
bcosca/fatfree,3566571,11,135,138,2013-10-13,2017-6-26,1353
openshift/origin,22442668,53,20,18,2014-12-19,2017-10-25,1041
rstudio/sparklyr,59305491,11,35,34,2016-9-24,2017-9-18,359
linnovate/mean,10219106,11,100,55,2014-5-1,2017-2-2,1006
git-lfs/git-lfs,13021798,52,22,19,2014-8-21,2017-10-18,1152
glfw/glfw,9524997,6,104,65,2015-3-10,2016-8-18,523
lostisland/faraday,417389,15,111,56,2013-5-13,2017-8-18,1555
mozilla/rr,2269868,10,76,75,2015-10-22,2017-9-7,685
wkhtmltopdf/wkhtmltopdf,271714,13,84,73,2014-2-6,2016-11-22,1016
Varying-Vagrant-Vagrants/VVV,7123799,6,221,251,2014-3-2,2017-3-13,1106
kubernetes/minikube,56353740,30,17,17,2016-5-30,2017-10-26,511
itinance/react-native-fs,35291446,10,58,54,2016-4-29,2017-10-6,522
xmartlabs/XLForm,18581578,12,110,98,2014-6-23,2017-10-26,1218
emezeske/lein-cljsbuild,3067051,7,108,111,2015-11-7,2017-8-18,651
philsquared/Catch,1062572,22,39,15,2015-6-30,2017-10-12,832
visionmedia/superagent,1607357,27,26,15,2015-12-3,2017-10-19,686
facebook/fresco,31533997,27,33,25,2015-3-28,2017-8-10,862
rengwuxian/MaterialEditText,25965034,15,15,6,2014-11-3,2015-6-4,216
bhauman/lein-figwheel,18901345,19,56,23,2014-12-19,2017-10-2,1018
