full_name,id,distinct_releases,releases_mean_time,releases_median_time,first_release_date,last_release_date,total_time_days
tflearn/tflearn,55147386,6,76,61,2016-5-31,2017-6-18,382
omniauth/omniauth,587311,5,59,6,2017-2-6,2017-10-2,236
ocornut/imgui,22067521,38,31,12,2014-8-11,2017-10-27,1171
arduino/Arduino,919161,16,98,73,2013-9-19,2017-10-2,1473
dimsemenov/PhotoSwipe,1580851,10,93,40,2014-12-16,2017-4-5,844
jwilder/docker-gen,17762549,22,36,28,2014-5-2,2016-6-12,770
NLog/NLog,5780416,49,30,18,2013-10-10,2017-10-15,1465
tmuxinator/tmuxinator,1157388,11,116,99,2013-7-27,2016-10-8,1166
moby/moby,7691631,57,12,11,2015-8-7,2017-6-28,691
primer/octicons,20893207,17,47,34,2014-6-16,2016-7-11,755
liaohuqiu/android-Ultra-Pull-To-Refresh,26568234,8,41,38,2014-12-1,2015-9-19,293
zxing/zxing,2562751,14,105,26,2014-1-20,2017-10-25,1370
wekan/wekan,16089035,32,25,7,2015-8-31,2017-10-25,784
xhzengAIB/MessageDisplayKit,19094829,24,22,12,2014-4-28,2015-10-8,525
prawnpdf/prawn,7050,6,179,153,2014-9-28,2017-3-11,898
SeleniumHQ/selenium,7613257,7,93,99,2016-2-16,2017-8-30,559
square/picasso,10057936,1,None,None,2013-8-30,2013-8-30,0
rkt/rkt,26509369,60,17,14,2014-11-27,2017-10-4,1042
openalpr/openalpr,14259343,6,161,121,2014-5-1,2016-7-17,806
cakephp/phinx,3055234,12,40,17,2016-6-14,2017-9-9,450
fastlane/fastlane,27442967,163,6,5,2015-1-16,2017-10-23,1007
CodisLabs/codis,25804514,30,29,19,2015-6-18,2017-10-24,856
linkerd/linkerd,49605596,41,16,15,2016-1-14,2017-10-24,645
Z3Prover/z3,32944298,4,189,156,2015-4-13,2016-11-7,569
the-control-group/voyager,72069409,29,11,7,2016-11-26,2017-10-24,333
electron/electron,9384267,200,7,7,2013-8-12,2017-10-19,1527
jp9000/obs-studio,13233158,48,26,25,2014-5-21,2017-10-26,1250
GoogleChrome/lighthouse,53370988,19,23,20,2016-8-6,2017-10-4,423
ReactiveX/RxSwift,33569135,48,18,14,2015-5-9,2017-10-17,888
HelloZeroNet/ZeroNet,29112049,14,49,34,2016-1-4,2017-10-17,648
nats-io/gnatsd,6443435,17,74,52,2014-6-17,2017-9-27,1195
spacehuhn/esp8266_deauther,78281075,7,25,19,2017-3-7,2017-8-8,151
OAuthSwift/OAuthSwift,21315049,9,69,68,2015-11-30,2017-6-4,554
giggsey/libphonenumber-for-php,9077725,80,19,15,2013-8-13,2017-10-16,1523
airbnb/react-native-maps,48764652,12,36,18,2016-8-31,2017-10-11,405
getredash/redash,13926404,38,36,16,2014-2-25,2017-10-22,1332
mongodb/mongo-csharp-driver,699689,26,56,42,2013-8-7,2017-6-8,1401
OpenLiveWriter/OpenLiveWriter,47679179,5,133,56,2015-12-9,2017-5-23,534
vapor/vapor,49910095,79,7,6,2016-3-16,2017-10-24,583
zhuhaow/SpechtLite,65428555,22,16,7,2016-8-11,2017-7-19,343
openfaas/faas,77144337,24,12,8,2017-1-4,2017-10-23,289
lift/framework,1295197,25,55,50,2014-1-8,2017-9-16,1343
mozilla-services/heka,6248212,22,43,37,2013-7-3,2015-12-31,908
badoo/Chatto,46873579,6,100,53,2016-1-14,2017-5-29,500
thoughtbot/bourbon,1653882,30,41,24,2014-3-17,2017-6-26,1194
App-vNext/Polly,9864166,5,44,54,2017-2-8,2017-8-6,178
square/retrofit,892275,5,215,275,2013-8-30,2016-1-5,860
getlantern/lantern,1380117,35,35,18,2014-7-8,2017-10-20,1197
tbruyelle/RxPermissions,43370610,5,16,17,2015-10-2,2015-12-7,65
brigade/scss-lint,7228264,37,35,32,2014-4-22,2017-10-10,1263
krzyzanowskim/CryptoSwift,21535619,9,49,41,2016-9-13,2017-10-15,397
postcss/postcss,13078968,77,18,12,2013-12-17,2017-10-4,1387
guard/guard,812610,38,33,10,2013-9-12,2017-1-28,1236
spinnaker/spinnaker,21436816,45,13,9,2015-11-20,2017-6-13,573
fiorix/freegeoip,902930,15,75,51,2014-11-17,2017-10-2,1050
PostgresApp/PostgresApp,3946572,55,27,22,2013-8-22,2017-10-5,1503
rs/SDWebImage,313419,18,89,89,2013-8-11,2017-10-9,1518
typelift/Swiftz,20423545,16,53,20,2015-1-26,2017-4-2,796
idevz/vanilla,40606693,9,64,31,2015-9-17,2017-2-11,514
tools/godep,9787757,32,15,8,2015-10-15,2017-2-2,477
JakeWharton/ActionBarSherlock,1451060,1,None,None,2013-8-14,2013-8-14,0
RubaXa/Sortable,15308499,7,49,57,2014-12-21,2015-10-13,297
picocms/Pico,3929096,12,129,68,2013-9-4,2017-7-25,1421
JustArchi/ArchiSteamFarm,44897462,148,4,4,2015-10-28,2017-10-26,728
sass/libsass,3319769,44,29,9,2013-12-19,2017-5-22,1253
jaegertracing/jaeger,56342508,7,19,20,2017-7-1,2017-10-26,115
cakephp/cakephp,656494,146,10,8,2013-7-3,2017-10-19,1566
danielstjules/Stringy,11291794,21,64,42,2013-12-5,2017-6-12,1287
gorhill/uBlock,33263118,70,13,10,2015-4-3,2017-10-28,935
Sylius/Sylius,2717549,13,64,49,2015-9-8,2017-10-27,779
icanzilb/SwiftSpinner,29830555,8,53,46,2016-9-12,2017-9-19,372
apache/incubator-mxnet,34864402,26,28,14,2015-11-10,2017-10-20,710
nhaarman/ListViewAnimations,8877512,6,68,31,2013-9-12,2014-8-21,344
snare/voltron,10934235,5,40,23,2016-4-12,2016-9-24,162
jedisct1/libsodium,7710647,23,70,46,2013-7-4,2017-10-1,1547
Reactive-Extensions/RxJS,3122202,26,34,22,2013-10-23,2016-3-7,869
beto-rodriguez/Live-Charts,42749841,39,15,10,2015-9-25,2017-4-25,580
RestKit/RestKit,508845,10,158,93,2013-8-20,2017-7-19,1429
future-architect/vuls,54808920,8,72,67,2016-5-24,2017-10-19,510
youtube/vitess,11008207,14,49,27,2015-8-25,2017-5-22,637
haiwen/seafile,4999959,51,23,14,2014-6-7,2017-9-19,1197
StockSharp/StockSharp,27703983,29,33,28,2015-2-25,2017-10-5,950
sschmid/Entitas-CSharp,17873382,46,21,11,2015-3-8,2017-10-26,958
RNCryptor/RNCryptor,3744429,7,166,18,2013-12-31,2016-9-27,1001
hashicorp/terraform,17728164,57,14,13,2015-6-30,2017-10-2,822
webmin/webmin,256164,18,67,71,2014-8-12,2017-10-10,1153
fission/fission,66050533,5,24,15,2017-6-21,2017-9-27,96
barryvdh/laravel-cors,13612575,6,84,51,2016-8-23,2017-10-19,421
tidwall/tile38,53171300,16,33,25,2016-4-2,2017-8-16,499
venmo/synx,19290579,4,8,11,2014-5-29,2014-6-24,25
pintsized/lua-resty-http,13468660,10,146,124,2013-12-19,2017-7-24,1315
erusev/parsedown,11323319,11,70,36,2013-11-2,2015-10-4,702
zcash/zcash,26987049,6,57,49,2016-12-15,2017-9-28,288
dropwizard/dropwizard,1272129,22,44,40,2015-3-6,2017-10-6,940
tidyverse/readr,11663980,6,153,190,2015-4-9,2017-5-16,767
containous/traefik,42408804,89,8,5,2015-10-8,2017-10-24,746
petkaantonov/bluebird,12670444,41,24,12,2015-1-6,2017-10-4,998
javiereguiluz/EasyAdminBundle,29126334,62,16,10,2015-1-16,2017-10-20,1004
status-im/status-react,52308441,2,98,98,2017-1-4,2017-4-12,98
jakubroztocil/httpie,3544424,8,149,115,2014-1-25,2016-12-8,1043
japgolly/scalajs-react,21457951,32,36,26,2014-9-15,2017-10-29,1139
tqdm/tqdm,36804486,26,29,20,2015-10-11,2017-10-15,734
google/j2objc,16389681,27,52,42,2014-1-31,2017-10-24,1358
github/gh-ost,54378638,30,17,8,2016-5-5,2017-9-14,494
r-lib/testthat,295311,7,132,196,2014-2-21,2016-4-25,794
ninja-build/ninja,1335132,7,243,291,2013-9-12,2017-9-13,1461
barryvdh/laravel-debugbar,12615154,17,69,25,2014-9-3,2017-9-18,1110
roots/bedrock,14075080,46,30,23,2013-12-18,2017-9-20,1372
hybridauth/hybridauth,2784220,18,67,46,2014-5-25,2017-7-9,1139
syedhali/EZAudio,14812903,6,42,4,2015-6-26,2016-1-24,213
cayleygraph/cayley,20537104,7,169,190,2014-6-28,2017-4-12,1019
prettier/prettier,75104123,7,24,25,2017-4-19,2017-9-14,145
mockery/mockery,137515,8,130,48,2015-4-2,2017-10-6,914
getgrav/grav,22553797,92,12,10,2014-8-13,2017-10-27,1169
Codeusa/Borderless-Gaming,15819024,18,74,7,2014-1-12,2017-7-5,1268
PowerShell/Win32-OpenSSH,42125787,29,26,19,2015-10-14,2017-10-17,733
KnpLabs/snappy,723980,13,124,88,2013-9-6,2017-10-4,1488
colebemis/feather,20270252,9,17,8,2017-5-24,2017-10-11,137
FuzzyAutocomplete/FuzzyAutocompletePlugin,13715172,6,138,178,2013-10-20,2015-9-13,693
infernojs/inferno,30161665,57,11,6,2015-12-20,2017-10-12,662
afollestad/material-dialogs,26102180,30,26,20,2015-9-17,2017-10-25,768
skylot/jadx,8859474,8,178,95,2013-7-2,2016-12-5,1248
EyalAr/lwip,21306213,8,97,82,2014-7-9,2016-5-19,680
shadowsocks/shadowsocks-android,7190986,90,12,7,2014-7-26,2017-9-7,1136
evilsocket/bettercap,29429361,30,26,12,2015-7-19,2017-8-21,762
dotnet/corefx,26295345,11,82,62,2015-5-11,2017-8-14,823
ankurp/Dollar,20466037,28,44,41,2014-6-17,2017-9-22,1190
home-assistant/home-assistant,12888993,90,14,8,2014-4-13,2017-10-21,1283
ropensci/plotly,14579179,7,180,51,2013-11-27,2016-11-17,1085
kanboard/kanboard,16238673,2,18,18,2017-10-6,2017-10-24,18
chartjs/Chart.js,8843683,28,44,29,2014-6-29,2017-10-28,1214
doorkeeper-gem/doorkeeper,2802565,8,64,39,2015-12-23,2017-3-12,449
tonsky/datascript,18800032,37,33,21,2014-5-2,2017-8-17,1200
kishikawakatsumi/KeychainAccess,28463126,18,58,33,2015-1-2,2017-9-25,993
airblade/paper_trail,211588,21,61,58,2013-12-2,2017-4-10,1228
nghialv/MaterialKit,26709811,7,77,41,2014-12-9,2016-3-13,464
facebook/facebook-ios-sdk,738491,22,23,24,2016-5-11,2017-9-26,500
cymcsg/UltimateRecyclerView,29946464,8,26,17,2016-2-3,2016-8-5,182
npgsql/npgsql,2883574,45,30,14,2013-12-10,2017-7-25,1325
gunthercox/ChatterBot,24561828,50,21,12,2014-10-12,2017-8-8,1031
TykTechnologies/tyk,19537979,35,34,28,2014-8-13,2017-10-25,1167
msysgit/msysgit,325827,10,52,53,2013-12-6,2015-3-19,473
humhub/humhub,16685462,36,33,27,2014-7-25,2017-10-23,1183
rtyley/bfg-repo-cleaner,7266492,7,100,98,2014-2-1,2015-10-1,605
xamarin/Xamarin.Forms,54213490,37,15,14,2016-4-4,2017-10-19,560
fpillet/NSLogger,951918,7,162,177,2014-9-9,2017-5-9,975
hybridgroup/gobot,12996196,24,60,37,2013-12-30,2017-10-23,1393
gsdios/SDCycleScrollView,32787812,11,85,68,2015-6-22,2017-10-28,856
FrozenNode/Laravel-Administrator,6659216,29,40,22,2013-7-18,2016-8-15,1122
emirpasic/gods,31660590,7,42,14,2016-6-25,2017-3-6,256
TTTAttributedLabel/TTTAttributedLabel,1713774,6,101,34,2014-12-21,2016-5-10,509
eventmachine/eventmachine,43371,9,186,176,2013-6-28,2017-7-28,1490
aspnet/Mvc,15126429,22,53,42,2014-7-8,2017-8-14,1131
electerious/Lychee,6047189,34,36,25,2013-11-21,2017-3-20,1219
go-sql-driver/mysql,7083242,5,311,217,2013-7-2,2016-12-1,1244
stedolan/jq,5101141,4,75,11,2015-1-1,2015-8-16,225
keepassxreboot/keepassxc,52729242,8,39,27,2017-1-22,2017-10-28,276
alexazhou/VeryNginx,48843327,11,19,10,2016-2-4,2016-8-15,191
alda-lang/alda,23338323,52,13,7,2015-11-8,2017-10-17,709
Maatwebsite/Laravel-Excel,14259390,29,32,29,2015-3-11,2017-9-19,918
gohugoio/hugo,11180687,32,50,21,2013-7-5,2017-10-19,1564
Unity-Technologies/PostProcessing,70460785,7,33,33,2017-3-14,2017-10-4,200
audreyr/cookiecutter,11407242,15,108,90,2013-8-12,2017-10-15,1523
facebook/draft-js,52113921,15,42,15,2016-3-9,2017-10-24,590
cloudwu/skynet,5254557,43,19,14,2014-4-23,2016-7-11,808
d3/d3,943149,73,21,13,2013-7-2,2017-10-3,1551
Alamofire/AlamofireImage,41780199,19,40,21,2015-9-6,2017-9-6,730
rofl0r/proxychains-ng,2321051,3,223,315,2015-10-2,2016-12-24,447
sosedoff/pgweb,24968828,25,45,30,2014-10-14,2017-9-29,1080
circe/circe,40011080,23,29,15,2015-11-4,2017-8-21,657
emberjs/ember.js,1801829,79,13,9,2014-9-21,2017-9-14,1088
yudai/gotty,40808571,11,74,23,2015-8-18,2017-8-31,743
react-boilerplate/react-boilerplate,30969188,11,67,37,2015-11-19,2017-9-22,673
phanan/koel,47495360,17,27,20,2016-1-31,2017-4-19,443
ramda/ramda,10851820,11,113,64,2014-9-1,2017-10-9,1133
puma/puma,2441517,3,88,101,2017-2-20,2017-8-17,177
Behat/Behat,1367484,34,44,32,2013-8-17,2017-9-10,1483
PrismLibrary/Prism,31335300,9,95,34,2015-9-11,2017-10-13,762
docker/distribution,28366058,35,26,20,2015-1-29,2017-7-20,901
defunkt/jquery-pjax,1413492,6,308,224,2013-2-26,2017-5-19,1543
google/EarlGrey,51094210,26,22,13,2016-2-17,2017-8-29,557
onevcat/Kingfisher,33486016,66,13,10,2015-4-28,2017-10-21,903
Microsoft/MixedRealityToolkit-Unity,50605426,12,29,15,2016-11-24,2017-10-17,328
shadowsocks/ShadowsocksX-NG,60844036,15,32,20,2016-6-20,2017-9-16,451
fatfreecrm/fat_free_crm,80571,2,22,22,2017-1-31,2017-2-23,22
pangloss/vim-javascript,293477,9,18,23,2016-6-14,2016-11-8,144
kaishin/Gifu,23771864,14,76,53,2014-11-10,2017-7-30,995
magento/magento2,2884111,58,17,8,2014-12-26,2017-9-26,1005
CymChad/BaseRecyclerViewAdapterHelper,55886798,79,7,5,2016-4-11,2017-10-24,558
zhxnlai/ZLSwipeableViewSwift,34710834,6,104,97,2015-5-26,2016-11-5,524
CRYTEK/CRYENGINE,59480719,18,28,18,2016-5-23,2017-9-22,484
Microsoft/Git-Credential-Manager-for-Windows,42456996,24,29,26,2015-9-30,2017-8-11,681
vuejs/vuex,39176269,20,30,20,2016-3-1,2017-10-11,585
buger/goreplay,10379607,24,60,18,2013-9-15,2017-6-30,1385
mledoze/countries,3118246,16,75,68,2013-7-26,2016-9-1,1130
alibaba/fastjson,2700474,37,24,14,2015-5-10,2017-10-8,878
beetbox/beets,827590,27,55,48,2013-7-9,2017-6-20,1441
gali8/Tesseract-OCR-iOS,9769041,4,41,4,2014-12-3,2015-4-3,125
thoughtbot/paperclip,8393,3,59,71,2016-4-20,2016-8-19,119
HeshamMegid/HMSegmentedControl,7317163,6,256,248,2013-11-19,2017-5-20,1281
phpmyadmin/phpmyadmin,3217621,62,20,14,2014-6-12,2017-10-23,1226
symfony/symfony,458058,13,18,16,2017-3-8,2017-10-18,220
dokan-dev/dokany,27818365,15,68,44,2015-1-30,2017-9-19,959
RocketChat/Rocket.Chat,35866694,68,9,7,2016-1-7,2017-10-25,653
mapbox/mapbox-gl-native,16286131,107,8,7,2015-5-4,2017-10-26,902
dotnet/coreclr,30092893,11,63,49,2015-11-18,2017-8-14,636
rstudio/ggvis,9779536,5,120,143,2014-2-26,2015-6-22,481
thoughtbot/administrate,33739333,14,47,33,2015-11-11,2017-7-14,613
diaspora/diaspora,911765,42,36,29,2013-9-25,2017-10-20,1485
jteeuwen/go-bindata,1911958,8,68,49,2013-7-25,2014-11-20,480
robotmedia/RMStore,11766695,7,66,45,2013-10-28,2014-12-3,400
button/DeepLinkKit,27736734,12,89,49,2015-2-9,2017-10-18,979
elastic/elasticsearch-net,942613,65,23,15,2013-7-4,2017-7-21,1477
functional-streams-for-scala/fs2,8609125,5,22,19,2017-7-12,2017-10-13,91
Studio3T/robomongo,6580000,8,117,40,2015-3-14,2017-6-19,825
graphql-dotnet/graphql-dotnet,38632468,41,20,14,2015-7-9,2017-9-22,803
guzzle/guzzle,1420053,22,63,45,2013-11-2,2017-6-22,1330
icanzilb/EasyAnimation,35777740,5,96,108,2016-9-17,2017-10-7,385
IBAnimatable/IBAnimatable,46383222,20,32,27,2016-1-13,2017-9-21,613
yck1509/ConfuserEx,18203752,10,84,60,2014-5-28,2016-7-1,763
mroth/lolcommits,2499845,11,152,139,2013-7-8,2017-9-17,1529
kif-framework/KIF,1834942,25,60,43,2013-8-23,2017-8-14,1451
alibaba/vlayout,83285138,12,17,13,2017-3-11,2017-9-19,188
Mantle/Mantle,5683364,18,55,51,2014-3-1,2016-10-12,951
dmlc/xgboost,16587283,7,142,194,2014-3-27,2016-7-29,852
code4craft/webmagic,9623064,20,77,25,2013-7-25,2017-7-30,1465
sequelpro/sequelpro,14224695,11,30,14,2015-6-6,2016-4-3,302
xmartlabs/Eureka,43330374,15,52,44,2015-9-29,2017-10-6,737
nikic/FastRoute,16896584,10,89,74,2014-11-26,2017-2-5,804
vim-airline/vim-airline,11075527,8,136,14,2013-7-27,2016-3-10,958
lipangit/JiaoZiVideoPlayer,51199322,35,14,14,2016-6-6,2017-10-28,507
keybase/client,29099181,21,34,19,2015-11-6,2017-10-3,697
MvvmCross/MvvmCross,2870911,11,55,27,2016-4-4,2017-10-13,554
mislav/will_paginate,1227,5,339,257,2013-9-18,2017-6-7,1359
Unitech/pm2,10187082,47,25,15,2014-7-29,2017-10-18,1174
nodejs/node,27193779,2,48,48,2017-9-5,2017-10-23,48
SwiftyJSON/SwiftyJSON,20965586,17,67,32,2014-9-26,2017-9-8,1077
panique/huge,4237727,6,90,36,2013-12-15,2015-3-7,452
libgit2/libgit2,901662,33,45,30,2013-7-3,2017-6-19,1446
j4mie/idiorm,512431,4,399,195,2013-12-12,2017-3-21,1199
Flipboard/FLEX,20277829,10,85,78,2014-8-25,2016-10-1,766
facebook/buck,9504214,27,28,18,2015-9-13,2017-10-2,749
Nummer/Destroy-Windows-10-Spying,41032527,21,18,7,2015-8-19,2016-8-31,377
Microsoft/nodejstools,33017149,36,25,16,2015-5-14,2017-10-9,875
janl/mustache.js,326688,9,78,58,2015-2-18,2016-11-8,625
Carthage/Carthage,25050844,48,22,13,2014-11-18,2017-10-14,1061
Marxon13/M13ProgressSuite,15401421,12,92,32,2014-1-21,2016-11-10,1019
druid-io/druid,6358188,18,68,62,2014-6-7,2017-8-23,1171
facebook/xctool,9639981,22,71,58,2013-7-14,2017-9-1,1507
knsv/mermaid,26066727,20,42,15,2014-11-16,2017-1-29,808
caolan/async,698041,1,None,None,2017-4-6,2017-4-6,0
NickeManarin/ScreenToGif,64713769,16,29,27,2016-8-2,2017-10-18,441
fikovnik/ShiftIt,959084,4,293,322,2014-5-22,2016-10-21,879
ledger/ledger,16309,2,366,366,2015-1-10,2016-1-11,366
bower/bower,5710341,23,56,24,2014-4-7,2017-9-13,1251
fchollet/keras,33015583,6,23,25,2017-4-29,2017-8-25,116
SwifterSwift/SwifterSwift,64705781,25,17,13,2016-8-9,2017-10-8,424
greenrobot/greenDAO,2626751,6,85,54,2016-2-4,2017-4-5,426
aspnet/Identity,16491880,18,66,46,2014-7-7,2017-8-14,1132
oclint/oclint,7159640,7,112,127,2015-11-23,2017-9-29,676
ethereum/solidity,40892817,33,24,24,2015-8-21,2017-10-18,787
OpenKinect/libfreenect,1073722,10,139,89,2014-2-15,2017-7-22,1252
swoole/swoole-src,5133949,93,13,11,2014-4-14,2017-9-26,1257
facebook/immutable-js,21413198,32,37,7,2014-8-12,2017-10-17,1160
gatsbyjs/gatsby,36040894,57,13,9,2015-7-22,2017-7-25,733
technomancy/leiningen,356756,14,94,42,2014-6-9,2017-10-27,1233
xmartlabs/XLPagerTabStrip,28266028,9,97,138,2015-8-18,2017-10-5,777
OrchardCMS/Orchard,33889464,7,120,105,2015-5-5,2017-4-27,722
cockroachdb/cockroach,16563587,8,16,14,2017-6-30,2017-10-26,116
crsmithdev/arrow,6750871,4,224,134,2015-1-22,2016-11-29,672
akka/alpakka,70807477,14,26,25,2016-11-10,2017-10-23,348
less/less.js,527644,8,196,46,2013-7-22,2017-4-24,1372
styled-components/styled-components,65794292,17,23,13,2016-10-15,2017-10-24,374
fatedier/frp,48378947,16,33,19,2016-2-29,2017-7-16,502
nlohmann/json,11171548,16,38,27,2015-7-26,2017-2-25,579
ReactiveX/RxJava,7508411,114,13,9,2013-9-3,2017-10-27,1514
mbdavid/LiteDB,23315232,27,37,24,2015-1-31,2017-10-18,987
KnpLabs/Gaufrette,1267753,6,165,173,2015-3-9,2017-6-17,828
snabbco/snabb,4857740,37,34,30,2014-4-1,2017-8-30,1244
draios/sysdig,15926180,47,27,21,2014-4-7,2017-10-4,1272
ossec/ossec-hids,12901559,17,78,62,2014-2-24,2017-8-9,1260
mochajs/mocha,1451352,14,35,20,2016-7-3,2017-10-6,458
opal/opal,184366,10,158,19,2013-7-24,2017-6-21,1427
alibaba/druid,2700159,20,32,28,2016-2-16,2017-10-27,616
googlevr/gvr-unity-sdk,27791908,6,34,27,2017-4-19,2017-10-13,174
daimajia/AndroidSwipeLayout,23301468,8,34,6,2014-8-25,2015-4-20,240
kubernetes/helm,43723161,29,20,16,2016-3-11,2017-10-23,587
AutoMapper/AutoMapper,505380,21,70,77,2013-8-25,2017-6-27,1402
evant/gradle-retrolambda,11888356,2,82,82,2017-5-1,2017-7-23,82
pattern-lab/patternlab-php,10777493,20,54,8,2013-9-5,2016-7-12,1042
Microsoft/PTVS,32487763,29,22,13,2015-5-4,2017-1-24,630
yiisoft/yii2,3431193,17,80,69,2013-12-1,2017-6-5,1284
Microsoft/BotBuilder,53092757,40,14,9,2016-4-1,2017-10-5,549
dkhamsing/open-source-ios-apps,29887499,15,28,11,2016-5-12,2017-6-21,404
aurelia/framework,27835638,58,18,10,2014-12-10,2017-10-2,1027
sumory/orange,54266969,9,41,36,2016-6-19,2017-5-16,332
thephpleague/oauth2-server,4551765,26,56,28,2013-9-23,2017-8-3,1410
cesanta/mongoose,5414488,10,80,90,2015-9-21,2017-9-13,722
AudioKit/AudioKit,16096528,29,37,29,2014-12-14,2017-10-16,1037
kickstarter/ios-oss,75432091,12,24,15,2016-12-15,2017-9-14,274
Day8/re-frame,27587921,17,58,39,2015-3-6,2017-10-7,941
pkluz/PKHUD,20951559,12,83,51,2015-3-25,2017-10-4,919
cyfdecyf/cow,5552858,14,82,25,2013-7-10,2016-6-19,1074
MahApps/MahApps.Metro,2584777,20,72,69,2014-1-16,2017-10-22,1371
nopSolutions/nopCommerce,18586705,5,160,212,2016-1-12,2017-10-17,640
kickstarter/rack-attack,5219382,5,59,57,2015-12-18,2016-8-9,236
fluentmigrator/fluentmigrator,589349,12,80,61,2013-12-29,2016-5-31,887
mailhog/MailHog,18858585,19,60,32,2014-4-20,2017-4-16,1091
bumptech/glide,11267509,23,68,40,2013-8-8,2017-10-3,1515
NVIDIA/nvidia-docker,45557469,9,52,29,2016-1-9,2017-3-3,419
jeasonlzy/okhttp-OkGo,49712843,8,49,29,2016-8-4,2017-7-17,348
dotnet/roslyn,29078997,16,51,44,2015-8-26,2017-10-11,775
realm/jazzy,20552964,31,34,26,2015-1-2,2017-10-27,1025
esp8266/Arduino,32969220,12,63,33,2015-11-17,2017-10-15,698
MatthewYork/DateTools,17908165,16,72,28,2014-3-24,2017-3-13,1084
waynewbishop/SwiftStructures,24014960,6,148,110,2015-9-11,2017-9-25,744
mac-cain13/R.swift,27892731,49,21,12,2014-12-12,2017-10-2,1025
PhilJay/MPAndroidChart,19148949,36,29,18,2014-5-28,2017-3-23,1030
mrdoob/three.js,576201,29,53,39,2013-7-2,2017-8-18,1506
nikic/PHP-Parser,1631570,29,53,43,2013-8-27,2017-10-18,1511
go-kit/kit,30215630,6,97,103,2016-6-7,2017-10-9,487
