id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8263291,2017-10-25T21:16:29Z,2017-10-25T22:49:47Z,,"Arch | Platform | Package | SHA256
i386 | Windows | [`telegraf-1.4.2_windows_i386.zip`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2_windows_i386.zip) | `cdda676260b9fae2954758f4c425fe87de9017546e4af804a94bda7e9ad6bc10`
i386 | FreeBSD | [`telegraf-1.4.2_freebsd_i386.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2_freebsd_i386.tar.gz) | `fa75e9b56095fd07e675bf60bc81f5b79b513b844da8c2c814e445ef8e066672`
i386 | Linux | [`telegraf-1.4.2_linux_i386.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2_linux_i386.tar.gz) | `2b5bfb97c3ca4c13ab2b8dd241dcf09f33c00e3eb2de2ec8dc011d91eb1603c0`
arm64 | Debian | [`telegraf_1.4.2-1_arm64.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.2-1_arm64.deb) | `e62134ba0f32ad28bf00dd2ba96686761d7dc01d15edcb6900477497e410d159`
arm64 | Centos | [`telegraf-1.4.2-1.arm64.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2-1.arm64.rpm) | `64434e2f23ca479d65aaed6cce5a205ae69a534e513de59251f82a07b9af3e37`
arm64 | Linux | [`telegraf-1.4.2_linux_arm64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2_linux_arm64.tar.gz) | `7aed9f3ce100c52c32178200d6bb2859fc0f82306bb7c6e2ecd910207e10220f`
armhf | Debian | [`telegraf_1.4.2-1_armhf.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.2-1_armhf.deb) | `a15451bff2ff069408347323c9baa686b43985e9536a4a3cee091fd0651d0412`
armhf | Linux | [`telegraf-1.4.2_linux_armhf.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2_linux_armhf.tar.gz) | `032eb68c9854cb11f79a6aa493a98cb6ffdb80a1a6bf795ff8c45e74dc99d78d`
armel | Debian | [`telegraf_1.4.2-1_armel.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.2-1_armel.deb) | `bdac7eaf1d37b0ace9959846c10bd9940e24193eafe55057d5d0b05aa72e9dd1`
armel | Centos | [`telegraf-1.4.2-1.armel.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2-1.armel.rpm) | `e646818f8d1c9b8968b6ef0cdda127a35e36d1623551747a74faf1a7e87ee7db`
armel | Linux | [`telegraf-1.4.2_linux_armel.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2_linux_armel.tar.gz) | `721f451ec55f779c49ad6e9a71eca85da870552b7af939e3c31e3c75fcfad01d`
armv6hl | Centos | [`telegraf-1.4.2-1.armv6hl.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2-1.armv6hl.rpm) | `054e13248bd31efea350acadd259f3578345ca8e9b0b56a57496665d2f853609`
s390x | Debian | [`telegraf_1.4.2-1_s390x.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.2-1_s390x.deb) | `6cff5c405aa2d0c1bbcffd9717e91e8a49af6fb4572960679bf88508aace7f76`
s390x | Centos | [`telegraf-1.4.2-1.s390x.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2-1.s390x.rpm) | `004013f2e7924a25267802cf5290e79de9caf12cb3c4530d6650c3fd84075f7d`
s390x | Linux | [`telegraf-1.4.2_linux_s390x.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.2_linux_s390x.tar.gz) | `3b192b9c9b1f3890b1d90a0a95ee36b829194af239c2c5c7ba294349d0740453`
",https://api.github.com/users/danielnelson,1048079,danielnelson,https://api.github.com/repos/influxdata/telegraf/releases/8069922/assets,https://api.github.com/repos/influxdata/telegraf/releases/8069922,master,https://api.github.com/repos/influxdata/telegraf/tarball/1.4.2,https://github.com/influxdata/telegraf/releases/tag/1.4.2,https://api.github.com/repos/influxdata/telegraf/zipball/1.4.2,1.4.2,False,False
7901425,2017-09-26T21:21:08Z,2017-09-26T21:59:44Z,,"Arch | Platform | Package | SHA256
---| --- | --- | ---
amd64 | Debian | [`telegraf_1.4.1-1_amd64.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.1-1_amd64.deb) | `f70ca532511a92e590eaf129ee816dd7cd8c0f7eeb62b41e1b8c8623334d6a8d`
amd64 | Centos | [`telegraf-1.4.1-1.x86_64.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1-1.x86_64.rpm) | `76ae1248890b399c5964d254fc763587b60059ab45081e73d7cad805fa97615b`
amd64 | Windows | [`telegraf-1.4.1_windows_amd64.zip`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1_windows_amd64.zip) | `1cad74edb888bd7a3cde9461b7f0b4210942e967d3cdb3f416ce589e3c755080`
amd64 | FreeBSD | [`telegraf-1.4.1_freebsd_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1_freebsd_amd64.tar.gz) | `4c07cf676e0609295990087698f33d83b5e89fdfd635bd65d53eaf9a5b81689b`
amd64 | Linux | [`telegraf-1.4.1-static_linux_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1-static_linux_amd64.tar.gz) | `ec4526a3a642b2a62f321573f6c979b9a51acc38525e4295d5900583134d48ca`
amd64 | Linux | [`telegraf-1.4.1_linux_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1_linux_amd64.tar.gz) | `c3acaaec39d8980686ce45c8da34828399bf984a4f33e7f24a49138d0ea67609`
i386 | Debian | [`telegraf_1.4.1-1_i386.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.1-1_i386.deb) | `632f88c273f092354a99c5e820d72b27e12d65afbdbf0d620c565a0cc8bae36a`
i386 | Centos | [`telegraf-1.4.1-1.i386.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1-1.i386.rpm) | `6e343b4c666d0fe43bf2dfb23da804d291aceec4c01b8646b9d04ec0596cc407`
i386 | Windows | [`telegraf-1.4.1_windows_i386.zip`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1_windows_i386.zip) | `7d58d013b9550c34634aa61b880fd0ae43e2bf331f9a721ee99169f7353c5d8a`
i386 | FreeBSD | [`telegraf-1.4.1_freebsd_i386.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1_freebsd_i386.tar.gz) | `5d26ef6c77b750a8be3a2e699ab0eb063593772f9d5314360d5c0ab10c30521a`
i386 | Linux | [`telegraf-1.4.1_linux_i386.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1_linux_i386.tar.gz) | `bc20e9f47018b62f9c906ba84f8685219bb1b227e02b3cfbe125d60df7d0ff82`
arm64 | Debian | [`telegraf_1.4.1-1_arm64.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.1-1_arm64.deb) | `105866f67c0b5bea4cdc107f759c80060b699074c1bbef80f8755690c46c1e6c`
arm64 | Centos | [`telegraf-1.4.1-1.arm64.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1-1.arm64.rpm) | `4f4b673af3738103376de111dfb47057373e587e7d69bdebf7df91ecc82998c3`
arm64 | Linux | [`telegraf-1.4.1_linux_arm64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1_linux_arm64.tar.gz) | `603693e4070f40dc07c3ff11f1e7a8b4b50ef6ce9b30bc9a031417c458511754`
armhf | Debian | [`telegraf_1.4.1-1_armhf.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.1-1_armhf.deb) | `f38b5fb3abfd712328d6a16db7c977e690aaafd66a7c60988f6165b24eec7a95`
armhf | Linux | [`telegraf-1.4.1_linux_armhf.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1_linux_armhf.tar.gz) | `d02877236ee647627d2a51aae93e5cc56cbc6445e89a216bb871a4af02d5ace7`
armel | Debian | [`telegraf_1.4.1-1_armel.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.1-1_armel.deb) | `f78d05760ad1f42d904f018d15f599659e73cd585796c9a349be2f630eec517a`
armel | Centos | [`telegraf-1.4.1-1.armel.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1-1.armel.rpm) | `e2e851ae3b42a71868ec0e737194cb9763db290a40f467cd8c89a9eb10c8dbf1`
armel | Linux | [`telegraf-1.4.1_linux_armel.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1_linux_armel.tar.gz) | `c726c87575f38a7a418d035a1bdba7ade4a7d20e1d281df8aad8a802dd6d3a79`
armv6hl | Centos | [`telegraf-1.4.1-1.armv6hl.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1-1.armv6hl.rpm) | `9d3758e6d93d85dbc76cf676609e60180e43b8ca0427ed81d3466ac5fb99e13e`
s390x | Debian | [`telegraf_1.4.1-1_s390x.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.1-1_s390x.deb) | `d18a2b01a653c5d4da0fcc57f45ad4ebbd36b57a1953f7d47ed90cbb7face8b9`
s390x | Centos | [`telegraf-1.4.1-1.s390x.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1-1.s390x.rpm) | `2b20fc94fe7df1cdf3fb31cdc5595e8d42c7f01fcfa3677918e15e3de7099630`
s390x | Linux | [`telegraf-1.4.1_linux_s390x.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.1_linux_s390x.tar.gz) | `da02d5bc314232d5a5b5f19769d1975a9b4b191cda6d4d6560ac2140ba07d1b5`
",https://api.github.com/users/danielnelson,1048079,danielnelson,https://api.github.com/repos/influxdata/telegraf/releases/7901425/assets,https://api.github.com/repos/influxdata/telegraf/releases/7901425,master,https://api.github.com/repos/influxdata/telegraf/tarball/1.4.1,https://github.com/influxdata/telegraf/releases/tag/1.4.1,https://api.github.com/repos/influxdata/telegraf/zipball/1.4.1,1.4.1,False,False
7646243,2017-09-06T00:16:13Z,2017-09-06T00:59:46Z,,"Arch | Platform | Package | SHA256
---| --- | --- | ---
amd64 | Centos | [`telegraf-1.4.0-1.x86_64.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0-1.x86_64.rpm) | `4aeb6ce95b6958b5b0d524a030f6b2db8ae1ba538cb3cfbe0d97413353f182c2`
amd64 | Debian | [`telegraf_1.4.0-1_amd64.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.0-1_amd64.deb) | `56cf485069a7adccd3ca561667776b687984825aaf58e34ccfdea0696f702844`
amd64 | FreeBSD | [`telegraf-1.4.0_freebsd_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0_freebsd_amd64.tar.gz) | `0ab795e3e23c5fa38fe4e5452cdca7088a78ae59943a8ce731ae40ab61a1f93e`
amd64 | Linux | [`telegraf-1.4.0_linux_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0_linux_amd64.tar.gz) | `e245bcc999a7260e3a23e9a769965b865ccb63b0047b18df0f9825dc1abf1ae2`
amd64 | Linux | [`telegraf-1.4.0-static_linux_amd64.tar.gz`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0-static_linux_amd64.tar.gz) | `533482c4e55fd5f40a4b101dd91ffeaa6471be7017e19ffc82080f31e05ad79c`
amd64 | Windows | [`telegraf-1.4.0_windows_amd64.zip`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0_windows_amd64.zip) | `f23501f430c6beb957266cc7e331fe3f45bc9bf0311176c6646c8e01b900d9db`
arm64 | Centos | [`telegraf-1.4.0-1.arm64.rpm`](https://dl.influxdata.com/telegraf/releases/telegraf-1.4.0-1.arm64.rpm) | `10fe779c1d625fc88b6f857a7f5569a97607a8a85cf8612186ccaf8d5606d985`
arm64 | Debian | [`telegraf_1.4.0-1_arm64.deb`](https://dl.influxdata.com/telegraf/releases/telegraf_1.4.0-1_arm64.deb) | `ac4ce4000a0c2641e6e5aff01f108e6cab890ae25772c36691a9010a04e1b060`
